NODE	SUBGRPAH_ID	ORBIT	RAW_COUNT	WEIGHTED_COUNT
171604	NA	60	0	0
171604	NA	61	0	0
171604	NA	62	0	0
171604	NA	63	0	0
171604	NA	64	0	0
171604	NA	65	0	0
171604	NA	66	0	0
171604	NA	67	0	0
171604	NA	68	0	0
171604	NA	69	0	0
171604	NA	70	0	0
171604	NA	71	0	0
171604	NA	72	0	0
171607	NA	0	15	15
171607	NA	1	200	167,68891
171607	NA	2	102	85,52134
171607	NA	3	3	2,51533
171607	NA	4	1299	966,37889
171607	NA	5	2241	1516,90839
171607	NA	6	16587	12339,74343
171607	NA	7	419	311,71113
171607	NA	8	3	2,03067
171607	NA	9	86	63,9789
171607	NA	10	551	372,96587
171607	NA	11	33	22,33734
171607	NA	12	1	0,67689
171607	NA	13	3	2,03067
171607	NA	14	0	0
171607	NA	15	13755	9310,60909
171607	NA	16	15078	8781,20367
171607	NA	17	2100	1312,24762
171607	NA	18	27189	18403,93679
171607	NA	19	142386	88974,13823
171607	NA	20	182153	106083,20676
171607	NA	21	11457	6672,38695
171607	NA	22	989943	670081,59179
171607	NA	23	1166	789,25265
171607	NA	24	4865	3293,0653
171607	NA	25	503	314,31455
171607	NA	26	6056	3309,34034
171607	NA	27	245	165,83782
171607	NA	28	932	542,78298
171607	NA	29	2438	1419,85506
171607	NA	30	33	18,03306
171607	NA	31	14235	9635,51584
171607	NA	32	49536	28849,03202
171607	NA	33	165	96,09355
171607	NA	34	17	9,90055
171607	NA	35	1675	1046,6737
171607	NA	36	181	105,41172
171607	NA	37	359	196,17787
171607	NA	38	32	17,48661
171607	NA	39	553	345,55854
171607	NA	40	170	92,8976
171607	NA	41	547	318,56469
171607	NA	42	33	18,03306
171607	NA	43	242	140,93721
171607	NA	44	0	0
171607	NA	45	82	51,24015
171607	NA	46	78	45,42604
171607	NA	47	10	5,15334
171607	NA	48	6	3,27874
171607	NA	49	0	0
171607	NA	50	0	0
171607	NA	51	16	8,24534
171607	NA	52	44	25,62495
171607	NA	53	5	2,43941
171607	NA	54	0	0
171607	NA	55	1	0,58239
171607	NA	56	15	10,15334
171607	NA	57	0	0
171607	NA	58	0	0
171607	NA	59	14	7,65039
171607	NA	60	2	1,03067
